Alpha,Gamma,Epsilon,Average Reward
0.4,0.7,0.4,-0.159
0.4,0.7,0.5,-0.116
0.4,0.7,0.6,-0.179
0.4,0.7,0.7,-0.164
0.4,0.7,0.8,-0.135
0.4,0.7,0.9,-0.106
0.4,0.7,1.0,-0.171
0.4,0.8,0.1,-0.117
0.4,0.8,0.2,-0.108
0.4,0.8,0.3,-0.166
0.4,0.8,0.4,-0.153
0.4,0.8,0.5,-0.11
0.4,0.8,0.6,-0.102
0.4,0.8,0.7,-0.121
0.4,0.8,0.8,-0.16
0.4,0.8,0.9,-0.12
0.4,0.8,1.0,-0.167
0.4,0.9,0.1,-0.175
0.4,0.9,0.2,-0.123
0.4,0.9,0.3,-0.158
0.4,0.9,0.4,-0.161
0.4,0.9,0.5,-0.105
0.4,0.9,0.6,-0.113
0.4,0.9,0.7,-0.074
0.4,0.9,0.8,-0.149
0.4,0.9,0.9,-0.143
0.4,0.9,1.0,-0.095
0.4,1.0,0.1,-0.078
0.4,1.0,0.2,-0.099
0.4,1.0,0.3,-0.079
0.4,1.0,0.4,-0.135
0.4,1.0,0.5,-0.138
0.4,1.0,0.6,-0.092
0.4,1.0,0.7,-0.177
0.4,1.0,0.8,-0.144
0.4,1.0,0.9,-0.146
0.4,1.0,1.0,-0.185
0.5,0.1,0.1,-0.193
0.5,0.1,0.2,-0.157
0.5,0.1,0.3,-0.06
0.5,0.1,0.4,-0.137
0.5,0.1,0.5,-0.104
0.5,0.1,0.6,-0.14
0.5,0.1,0.7,-0.114
0.5,0.1,0.8,-0.131
0.5,0.1,0.9,-0.122
0.5,0.1,1.0,-0.2
0.5,0.2,0.1,-0.145
0.5,0.2,0.2,-0.131
0.5,0.2,0.3,-0.127
0.5,0.2,0.4,-0.119
0.5,0.2,0.5,-0.11
0.5,0.2,0.6,-0.13
0.5,0.2,0.7,-0.106
0.5,0.2,0.8,-0.152
0.5,0.2,0.9,-0.105
0.5,0.2,1.0,-0.131
0.5,0.3,0.1,-0.097
0.5,0.3,0.2,-0.106
0.5,0.3,0.3,-0.12
0.5,0.3,0.4,-0.158
0.5,0.3,0.5,-0.091
0.5,0.3,0.6,-0.089
0.5,0.3,0.7,-0.206
0.5,0.3,0.8,-0.13
0.5,0.3,0.9,-0.152
0.5,0.3,1.0,-0.133
0.5,0.4,0.1,-0.141
0.5,0.4,0.2,-0.097
0.5,0.4,0.3,-0.124
0.5,0.4,0.4,-0.114
0.5,0.4,0.5,-0.124
0.5,0.4,0.6,-0.213
0.5,0.4,0.7,-0.158
0.5,0.4,0.8,-0.167
0.5,0.4,0.9,-0.199
0.5,0.4,1.0,-0.137
0.5,0.5,0.1,-0.124
0.5,0.5,0.2,-0.056
0.5,0.5,0.3,-0.156
0.5,0.5,0.4,-0.152
0.5,0.5,0.5,-0.109
0.5,0.5,0.6,-0.134
0.5,0.5,0.7,-0.135
0.5,0.5,0.8,-0.143
0.5,0.5,0.9,-0.184
0.5,0.5,1.0,-0.167
0.5,0.6,0.1,-0.139
0.5,0.6,0.2,-0.179
0.5,0.6,0.3,-0.118
0.5,0.6,0.4,-0.151
0.5,0.6,0.5,-0.121
0.5,0.6,0.6,-0.135
0.5,0.6,0.7,-0.108
0.5,0.6,0.8,-0.108
0.5,0.6,0.9,-0.108
0.5,0.6,1.0,-0.13
0.5,0.7,0.1,-0.075
